Publication Number,Patent Type,Pages of Document,Count of Current Assignees,Count of Inventors,Main IPC Section,Simple Family Count,Simple Family Cited by Count,Legal Status & Events,Simple Legal Status,Patent Valuation
TH2001004296A,Applications,24,1,2,B,15,0,Published,Pending,860000
TH1901003465A,Applications,20,1,2,B,10,11,Examining,Pending,860000
TH87371B,Patents,23,1,6,F,7,6,Granted,Active,860000
TH162225A,Applications,1,1,2,A,8,13,Published,Pending,850000
TH1901000211A,Applications,17,2,2,B,20,3,Examining,Pending,850000
TH50519B,Patents,14,1,1,F,4,1,Granted,Active,850000
TH28158B,Patents,17,1,2,B,7,36,Granted,Active,850000
TH82289B,Patents,16,1,2,F,7,7,Granted,Active,850000
TH68744B,Patents,-,1,3,F,8,10,Granted,Active,850000
TH79166B,Patents,22,1,3,B,4,8,Granted,Active,850000
TH67129B,Patents,14,1,2,F,4,34,Granted,Active,850000
TH1901003075A,Applications,22,1,12,A,18,13,Published,Pending,850000
TH162506A,Applications,1,1,7,C,9,21,Examining,Pending,840000
TH135750A,Applications,1,1,2,C,10,21,Examining,Pending,840000
TH168038A,Applications,1,2,4,C,14,20,Examining,Pending,840000
TH149663A,Applications,2,1,1,B,8,2,Published,Pending,840000
TH141510A,Applications,1,1,2,A,7,20,Examining,Pending,840000
TH1901002692A,Applications,58,2,5,B,10,14,Examining,Pending,840000
TH1901000542A,Applications,1,1,4,A,9,0,Examining,Pending,840000
TH2001000536A,Applications,33,1,6,F,9,0,Examining,Pending,840000
TH55278B,Patents,21,1,3,A,17,197,Granted,Active,840000
TH89104B,Patents,38,1,4,F,5,2,Granted,Active,840000
TH142371A,Applications,1,1,1,A,7,13,Examining,Pending,830000
TH133380A,Applications,1,1,4,A,8,18,Examining,Pending,830000
TH142172A,Applications,1,1,2,A,11,15,Examining,Pending,830000
TH135645A,Applications,1,1,2,C,8,10,Examining,Pending,830000
TH1801006989A,Applications,84,1,4,C,16,2,Published,Pending,830000
TH1801000602A,Applications,1,1,5,A,9,14,Examining,Pending,830000
TH1801001115A,Applications,1,1,3,C,22,12,Published,Pending,830000
TH65131B,Patents,31,1,3,D,6,3,Granted,Active,830000
TH56134B,Patents,2,1,6,F,6,13,Granted,Active,830000
TH82742B,Patents,6,1,1,A,7,17,Granted,Active,830000
TH49491B,Patents,28,2,7,C,9,53,Granted,Active,830000
TH54022B,Patents,-,1,1,F,6,22,Granted,Active,830000
TH60823B,Patents,18,1,4,B,10,11,Ceased,Inactive,830000
TH162688A,Applications,3,1,6,C,11,28,Examining,Pending,820000
TH153728A,Applications,1,1,3,C,8,2,Examining,Pending,820000
TH76373B,Patents,21,1,6,C,11,9,Granted,Active,820000
TH73260B,Patents,12,1,2,A,21,11,Ceased,Inactive,820000
TH50975B,Patents,31,1,1,B,4,12,Granted,Active,820000
TH40739B,Patents,21,1,4,F,12,151,Granted,Active,820000
TH61892B,Patents,23,1,4,B,5,6,Granted,Active,820000
TH62746B,Patents,16,2,4,B,3,7,Ceased,Inactive,820000
TH72108B,Patents,13,1,1,B,14,13,Granted,Active,820000
TH54023B,Patents,-,1,3,F,3,23,Ceased,Inactive,820000
TH86346B,Patents,12,1,1,B,3,91,Granted,Active,820000
TH139459A,Applications,1,1,8,A,8,32,Examining,Pending,810000
TH165912A,Applications,2,1,2,C,22,80,Published,Pending,810000
TH178379A,Applications,2,1,1,B,5,0,Published,Pending,810000
TH1801007168A,Applications,17,1,4,F,12,2,Examining,Pending,810000
TH1801006774A,Applications,51,1,12,A,29,4,Published,Pending,810000
TH83232B,Patents,39,1,2,F,5,16,Granted,Active,810000
TH61175B,Patents,43,1,9,F,9,41,Ceased,Inactive,810000
TH71635B,Patents,26,1,5,F,5,31,Granted,Active,810000
TH84689B,Patents,27,2,2,B,8,8,Granted,Active,810000
TH71472B,Patents,14,1,2,B,7,26,Granted,Active,810000
TH72928B,Patents,30,1,2,F,5,18,Granted,Active,810000
TH74059B,Patents,-,1,3,A,5,18,Granted,Active,810000
TH79943B,Patents,25,1,2,F,11,6,Granted,Active,810000
TH87422B,Patents,24,1,6,B,8,25,Granted,Active,810000
TH145381A,Applications,2,1,2,A,6,3,Examining,Pending,800000
TH175848A,Applications,1,1,4,A,12,3,Examining,Pending,800000
TH1801000151A,Applications,2,1,1,B,8,14,Published,Pending,800000
TH2001001254A,Applications,55,1,2,C,12,1,Published,Pending,800000
TH63231B,Patents,39,1,1,F,9,10,Granted,Active,800000
TH76771B,Patents,13,1,6,B,9,4,Granted,Active,800000
TH58536B,Patents,22,2,4,B,5,22,Granted,Active,800000
TH69835B,Patents,45,1,2,F,11,22,Ceased,Inactive,800000
TH65650B,Patents,16,1,6,A,9,29,Ceased,Inactive,800000
TH72285B,Patents,21,1,5,B,5,12,Granted,Active,800000
TH2001001383A,Applications,27,1,11,C,17,10,Examining,Pending,800000
TH151512A,Applications,1,1,2,A,8,25,Published,Pending,790000
TH168970A,Applications,2,1,6,B,7,2,Examining,Pending,790000
TH100165A,Applications,1,2,4,C,4,14,Examining,Pending,790000
TH112155A,Applications,2,1,7,A,19,120,Examining,Pending,790000
TH149876A,Applications,1,1,2,C,9,10,Examining,Pending,790000
TH181937A,Applications,1,1,2,C,10,0,Examining,Pending,790000
TH1701000187A,Applications,35,1,4,A,5,6,Published,Pending,790000
TH1701005664A,Applications,2,1,2,F,6,9,Examining,Pending,790000
TH78695B,Patents,11,1,4,B,7,7,Granted,Active,790000
TH64071B,Patents,-,1,7,F,4,13,Granted,Active,790000
TH70305B,Patents,-,1,1,A,4,15,Granted,Active,790000
TH79097B,Patents,-,1,2,A,6,5,Granted,Active,790000
TH60326B,Patents,13,1,6,C,7,18,Granted,Active,790000
TH55787B,Patents,12,1,2,B,5,27,Granted,Active,790000
TH54391B,Patents,-,1,7,F,7,11,Granted,Active,790000
TH28588B,Patents,17,1,1,B,7,23,Granted,Active,790000
TH76780B,Patents,29,1,1,B,12,16,Granted,Active,790000
TH43307B,Patents,-,1,3,F,5,31,Granted,Active,790000
TH78775B,Patents,55,1,5,F,6,20,Granted,Active,790000
TH90132B,Patents,2,1,2,H,8,13,Granted,Active,790000
TH83978A,Applications,1,1,3,A,15,12,Withdrawn,Inactive,780000
TH181093A,Applications,2,1,1,A,8,2,Examining,Pending,780000
TH1801007400A,Applications,54,1,4,F,7,4,Examining,Pending,780000
TH2001000783A,Applications,18,1,1,B,11,14,Examining,Pending,780000
TH43304B,Patents,20,1,1,B,6,89,Granted,Active,780000
TH58393B,Patents,32,2,2,A,5,36,Granted,Active,780000
TH72503B,Patents,-,1,3,B,3,5,Granted,Active,780000
TH82971B,Patents,15,1,2,F,6,4,Granted,Active,780000
TH71636B,Patents,20,1,2,G,7,20,Granted,Active,780000
TH77787B,Patents,-,3,16,F,5,1,Granted,Active,780000
TH67237B,Patents,10,1,6,A,4,24,Granted,Active,780000
TH83701B,Patents,13,1,1,A,8,5,Granted,Active,780000
TH57614B,Patents,16,1,2,D,12,36,Granted,Active,780000
TH58383B,Patents,17,1,2,F,7,16,Ceased,Inactive,780000
TH72353B,Patents,32,1,1,B,12,51,Ceased,Inactive,780000
TH79324B,Patents,38,1,4,A,7,5,Granted,Active,780000
TH53558B,Patents,10,1,4,B,9,3,Ceased,Inactive,780000
TH43170B,Patents,-,1,5,F,5,35,Granted,Active,780000
TH80302B,Patents,17,1,4,B,6,4,Granted,Active,780000
TH1901001713A,Applications,75,1,5,A,6,17,Examining,Pending,780000
TH2001003659A,Applications,32,1,1,A,16,4,Examining,Pending,780000
TH157590A,Applications,1,1,3,C,7,4,Examining,Pending,770000
TH134121A,Applications,1,2,5,A,10,14,Examining,Pending,770000
TH133702A,Applications,1,1,2,C,7,9,Examining,Pending,770000
TH1401006831A,Applications,21,1,1,C,5,11,Published,Pending,770000
TH65506B,Patents,13,1,5,A,7,7,Granted,Active,770000
TH50623B,Patents,14,1,1,F,5,20,Granted,Active,770000
TH81222B,Patents,13,1,1,A,5,7,Granted,Active,770000
TH32415B,Patents,24,1,1,A,20,13,Expired,Inactive,770000
TH62274B,Patents,-,1,4,F,6,6,Granted,Active,770000
TH64598B,Patents,21,1,4,F,5,9,Granted,Active,770000
TH58382B,Patents,-,2,1,F,3,10,Granted,Active,770000
TH34688B,Patents,-,1,3,A,4,12,Granted,Active,770000
TH1901003250A,Applications,22,2,22,C,9,8,Examining,Pending,770000
TH176904A,Applications,1,1,1,A,9,4,Published,Pending,760000
TH50900B,Patents,11,1,1,B,7,20,Granted,Active,760000
TH49943B,Patents,29,1,2,A,6,6,Granted,Active,760000
TH82355B,Patents,21,1,1,A,8,3,Granted,Active,760000
TH84926B,Patents,28,1,6,D,6,5,Granted,Active,760000
TH67657B,Patents,16,1,3,H,8,48,Ceased,Inactive,760000
TH63552B,Patents,12,1,2,A,5,17,Granted,Active,760000
TH66654B,Patents,10,2,1,B,3,19,Granted,Active,760000
TH72560B,Patents,-,1,7,F,8,6,Granted,Active,760000
TH1901000377A,Applications,49,1,4,G,21,3,Published,Pending,760000
TH87546B,Patents,25,1,1,B,11,9,Granted,Active,760000
TH88403B,Patents,13,1,1,E,12,2,Granted,Active,760000
TH174554A,Applications,1,1,6,A,13,4,Examining,Pending,750000
TH1801004703A,Applications,31,1,1,B,6,3,Published,Pending,750000
TH1901002959A,Applications,22,1,1,C,9,5,Published,Pending,750000
TH1901005200A,Applications,18,4,4,B,23,0,Published,Pending,750000
TH76590B,Patents,18,1,2,B,6,7,Ceased,Inactive,750000
TH82842B,Patents,27,1,10,F,7,26,Granted,Active,750000
TH59136B,Patents,28,1,2,F,7,48,Granted,Active,750000
TH65755B,Patents,34,1,2,B,6,6,Granted,Active,750000
TH57343B,Patents,-,1,5,F,4,26,Granted,Active,750000
TH29042B,Patents,-,1,4,F,5,8,Granted,Active,750000
TH81277B,Patents,28,1,8,C,7,15,Granted,Active,750000
TH141462A,Applications,1,1,5,A,8,24,Examining,Pending,740000
TH154791A,Applications,1,1,3,A,5,13,Examining,Pending,740000
TH174461A,Applications,2,1,2,B,10,4,Published,Pending,740000
TH176464A,Applications,2,1,1,B,8,5,Published,Pending,740000
TH1901007515A,Applications,27,1,4,A,6,11,Examining,Pending,740000
TH1701001268A,Applications,2,1,2,B,9,6,Published,Pending,740000
TH84902B,Patents,8,1,2,A,8,7,Granted,Active,740000
TH78040B,Patents,-,1,1,F,3,16,Granted,Active,740000
TH53679B,Patents,13,1,5,B,14,7,Granted,Active,740000
TH82104B,Patents,25,1,8,C,7,12,Granted,Active,740000
TH56325B,Patents,-,1,1,F,6,10,Granted,Active,740000
TH60110B,Patents,10,1,1,B,6,7,Granted,Active,740000
TH61823B,Patents,11,1,6,F,5,14,Granted,Active,740000
TH154133A,Applications,2,1,5,B,12,15,Published,Pending,730000
TH1801000270A,Applications,19,1,4,C,12,8,Examining,Pending,730000
TH18848U,Utility models,22,1,1,B,6,10,Granted,Active,730000
TH71313B,Patents,12,1,1,A,5,15,Granted,Active,730000
TH54013B,Patents,23,1,5,F,5,10,Granted,Active,730000
TH62255B,Patents,12,1,1,F,5,19,Granted,Active,730000
TH79817B,Patents,21,1,2,F,7,0,Granted,Active,730000
TH24160B,Patents,39,1,2,D,16,25,Expired,Inactive,730000
TH56265B,Patents,10,1,1,B,24,42,Granted,Active,730000
TH91132B,Patents,2,1,3,B,4,4,Granted,Active,730000
TH132150A,Applications,1,1,2,C,5,5,Examining,Pending,720000
TH137900A,Applications,1,1,4,C,20,7,Withdrawn,Inactive,720000
TH149296A,Applications,1,1,3,C,10,8,Examining,Pending,720000
TH124005A,Applications,1,1,20,A,34,84,Examining,Pending,720000
TH127445A,Applications,1,2,1,C,5,21,Examining,Pending,720000
TH1801001207A,Applications,18,1,6,C,12,7,Published,Pending,720000
TH1801007486A,Applications,25,-,2,C,5,0,Examining,Pending,720000
TH56331B,Patents,-,1,1,A,3,5,Granted,Active,720000
TH64876B,Patents,27,1,5,B,6,6,Granted,Active,720000
TH43918B,Patents,-,1,3,A,5,3,Granted,Active,720000
TH58746B,Patents,-,1,4,F,6,7,Granted,Active,720000
TH65148B,Patents,15,1,2,A,8,14,Granted,Active,720000
TH86272B,Patents,23,1,2,B,6,0,Granted,Active,720000
TH1901005972A,Applications,51,1,6,A,20,5,Published,Pending,720000
TH86265B,Patents,15,1,4,B,6,9,Granted,Active,720000
TH128868A,Applications,2,1,6,A,6,7,Examining,Pending,710000
TH1801005035A,Applications,37,1,4,F,9,2,Published,Pending,710000
TH67487B,Patents,28,1,5,F,7,5,Granted,Active,710000
TH81177B,Patents,14,1,2,B,7,8,Granted,Active,710000
TH61419B,Patents,50,1,2,A,5,24,Granted,Active,710000
TH56400B,Patents,-,1,7,F,5,21,Granted,Active,710000
TH58597B,Patents,-,1,1,B,5,3,Granted,Active,710000
TH81860B,Patents,28,2,6,B,6,93,Granted,Active,710000
TH47185B,Patents,22,1,6,F,5,19,Granted,Active,710000
TH73319B,Patents,-,1,3,B,3,7,Granted,Active,710000
TH1901003355A,Applications,49,1,5,F,5,26,Published,Pending,710000
TH90109B,Patents,32,1,2,F,7,6,Granted,Active,710000
TH161429A,Applications,1,1,6,A,21,5,Published,Pending,700000
TH160806A,Applications,1,1,8,A,6,8,Examining,Pending,700000
TH180199A,Applications,1,1,13,C,10,6,Examining,Pending,700000
TH1801003993A,Applications,12,2,2,A,13,6,Published,Pending,700000
TH1701007638A,Applications,1,1,4,A,17,8,Examining,Pending,700000
TH1901006329A,Applications,29,1,3,B,10,4,Published,Pending,700000
TH62254B,Patents,11,1,1,F,6,30,Granted,Active,700000
TH76433B,Patents,9,1,3,A,10,9,Ceased,Inactive,700000
TH2001001977A,Applications,51,1,18,B,15,10,Examining,Pending,700000
TH146717A,Applications,1,1,3,C,9,25,Examining,Pending,690000
TH79449B,Patents,-,1,1,C,6,71,Granted,Active,690000
TH83723B,Patents,39,1,4,C,15,2,Granted,Active,690000
TH59456B,Patents,11,1,5,C,13,93,Expired,Inactive,690000
TH85702B,Patents,2,1,2,B,16,3,Granted,Active,690000
TH2001002118A,Applications,39,1,2,A,24,0,Published,Pending,690000
TH134245A,Applications,1,1,2,C,7,19,Examining,Pending,680000
TH154905A,Applications,1,1,9,A,12,1,Examining,Pending,680000
TH126184A,Applications,2,1,2,F,8,14,Examining,Pending,680000
TH1801006918A,Applications,70,1,3,B,6,2,Published,Pending,680000
TH72979B,Patents,19,1,2,F,7,4,Granted,Active,680000
TH85829B,Patents,109,1,5,C,23,27,Granted,Active,680000
TH75335B,Patents,30,1,2,C,11,6,Granted,Active,680000
TH64424B,Patents,-,1,2,B,4,5,Granted,Active,680000
TH74587B,Patents,14,1,10,F,5,9,Granted,Active,680000
TH59614B,Patents,-,1,1,B,3,4,Granted,Active,680000
TH53308B,Patents,-,1,4,B,5,0,Granted,Active,680000
TH2001006832A,Applications,1,1,2,A,19,2,Published,Pending,680000
TH1901006717A,Applications,58,1,1,B,11,8,Published,Pending,680000
TH166757A,Applications,2,3,4,B,6,4,Examining,Pending,670000
TH131240A,Applications,1,1,2,A,8,12,Withdrawn,Inactive,670000
TH54511B,Patents,45,1,4,F,5,12,Granted,Active,670000
TH51589B,Patents,9,1,1,B,6,16,Granted,Active,670000
TH55818B,Patents,-,1,2,A,4,7,Granted,Active,670000
TH60404B,Patents,24,1,3,G,5,5,Granted,Active,670000
TH75049B,Patents,38,1,2,F,4,7,Granted,Active,670000
TH72628B,Patents,45,1,4,A,6,5,Granted,Active,670000
TH60041B,Patents,30,2,3,B,5,28,Granted,Active,670000
TH73312B,Patents,7,1,4,F,12,13,Granted,Active,670000
TH65330B,Patents,-,1,3,F,5,4,Granted,Active,670000
TH69588B,Patents,30,1,2,B,6,8,Granted,Active,670000
TH91590B,Patents,1,1,1,A,6,0,Granted,Active,670000
TH147210A,Applications,1,1,2,A,13,7,Examining,Pending,660000
TH143352A,Applications,1,2,7,A,8,16,Examining,Pending,660000
TH136645A,Applications,1,1,6,A,22,48,Examining,Pending,660000
TH121201A,Applications,2,1,1,C,7,11,Examining,Pending,660000
TH2001006367A,Applications,36,1,2,A,19,7,Published,Pending,660000
TH63777B,Patents,19,1,1,A,9,14,Granted,Active,660000
TH77785B,Patents,53,1,2,B,4,16,Granted,Active,660000
TH71187B,Patents,28,1,4,C,8,70,Granted,Active,660000
TH82166B,Patents,32,1,2,F,11,12,Granted,Active,660000
TH73292B,Patents,23,1,3,A,6,5,Granted,Active,660000
TH57249B,Patents,17,1,1,A,24,29,Granted,Active,660000
TH75249B,Patents,24,1,4,B,7,6,Granted,Active,660000
TH147246A,Applications,1,1,6,A,14,6,Published,Pending,650000
TH147596A,Applications,2,1,3,G,6,2,Examining,Pending,650000
TH32372B,Patents,13,2,2,B,8,8,Granted,Active,650000
TH66683B,Patents,47,1,1,B,7,2,Granted,Active,650000
TH79277B,Patents,25,1,1,F,4,12,Granted,Active,650000
TH70236B,Patents,43,1,1,F,4,20,Granted,Active,650000
TH83846B,Patents,28,1,8,C,7,27,Granted,Active,650000
TH69287B,Patents,42,1,2,F,5,38,Granted,Active,650000
TH63085B,Patents,-,1,1,A,3,5,Granted,Active,650000
TH51281B,Patents,-,1,1,F,5,17,Granted,Active,650000
TH1901007793A,Applications,15,2,4,B,9,7,Published,Pending,650000
TH1901007274A,Applications,37,2,2,C,22,6,Published,Pending,650000
TH89341B,Patents,23,1,6,B,9,30,Granted,Active,650000
TH112112A,Applications,1,1,2,C,8,0,Withdrawn,Inactive,640000
TH1801007375A,Applications,26,1,1,A,8,16,Published,Pending,640000
TH51793B,Patents,8,1,4,A,13,120,Granted,Active,640000
TH55768B,Patents,21,1,3,C,9,25,Granted,Active,640000
TH72363B,Patents,38,1,1,F,5,19,Ceased,Inactive,640000
TH78789B,Patents,17,1,1,B,5,9,Granted,Active,640000
TH56385B,Patents,32,1,3,F,5,3,Granted,Active,640000
TH90891B,Patents,1,1,11,C,1,0,Examining,Pending,640000
TH135894A,Applications,1,1,4,C,9,7,Examining,Pending,630000
TH121486A,Applications,1,1,6,C,12,91,Examining,Pending,630000
TH52442B,Patents,10,1,4,A,5,19,Granted,Active,630000
TH55002B,Patents,32,1,1,F,6,9,Granted,Active,630000
TH51269B,Patents,15,1,1,B,3,12,Granted,Active,630000
TH49799B,Patents,43,1,2,B,7,25,Granted,Active,630000
TH68412B,Patents,14,1,2,F,6,15,Granted,Active,630000
TH71846B,Patents,40,1,1,F,4,12,Granted,Active,630000
TH56629B,Patents,20,1,3,A,6,14,Granted,Active,630000
TH1901005907A,Applications,66,1,6,A,8,24,Examining,Pending,630000
TH143367A,Applications,1,1,11,C,10,8,Examining,Pending,620000
TH146374A,Applications,1,1,4,A,7,9,Examining,Pending,620000
TH162284A,Applications,1,1,6,C,18,8,Published,Pending,620000
TH146145A,Applications,1,1,6,C,8,13,Examining,Pending,620000
TH21707B,Patents,27,2,5,B,8,201,Granted,Active,620000
TH64811B,Patents,24,1,1,A,8,4,Ceased,Inactive,620000
TH79011B,Patents,7,1,2,F,12,25,Granted,Active,620000
TH55342B,Patents,-,1,2,A,3,18,Granted,Active,620000
TH85545B,Patents,34,1,1,B,6,4,Granted,Active,620000
TH1801007312A,Applications,69,1,8,B,11,0,Published,Pending,620000
TH140996A,Applications,1,1,4,A,5,1,Examining,Pending,610000
TH165307A,Applications,1,1,5,A,8,8,Examining,Pending,610000
TH1801001068A,Applications,36,2,2,B,15,15,Published,Pending,610000
TH63357B,Patents,13,1,2,A,5,12,Granted,Active,610000
TH72673B,Patents,26,1,3,A,5,16,Granted,Active,610000
TH73097B,Patents,31,1,5,B,7,18,Granted,Active,610000
TH56623B,Patents,-,1,4,A,4,10,Granted,Active,610000
TH50436B,Patents,-,1,4,A,3,6,Granted,Active,610000
TH53129B,Patents,43,1,2,B,6,83,Granted,Active,610000
TH67677B,Patents,26,1,3,A,5,27,Granted,Active,610000
TH70437B,Patents,21,1,1,F,4,10,Granted,Active,610000
TH64968B,Patents,21,1,3,A,7,7,Granted,Active,610000
TH41203B,Patents,-,1,1,B,3,14,Granted,Active,610000
TH89334B,Patents,63,1,1,B,17,6,Granted,Active,610000
TH1901004622A,Applications,22,1,3,A,9,6,Published,Pending,610000
TH134012A,Applications,1,1,2,C,6,13,Examining,Pending,600000
TH144131A,Applications,1,1,2,B,6,17,Examining,Pending,600000
TH71829A,Applications,1,1,3,A,44,23,Withdrawn,Inactive,600000
TH1901007247A,Applications,61,1,10,F,6,3,Examining,Pending,600000
TH52601B,Patents,25,1,1,F,5,8,Granted,Active,600000
TH80829B,Patents,9,1,2,A,8,3,Granted,Active,600000
TH59503B,Patents,-,1,1,A,3,31,Granted,Active,600000
TH71844B,Patents,32,1,1,F,4,7,Granted,Active,600000
TH37772B,Patents,-,1,2,H,5,13,Granted,Active,600000
TH78614B,Patents,28,2,9,F,5,9,Granted,Active,600000
TH56090B,Patents,-,1,4,B,4,16,Granted,Active,600000
TH148278A,Applications,2,2,2,F,4,4,Examining,Pending,590000
TH135287A,Applications,1,1,2,C,6,19,Examining,Pending,590000
TH146326A,Applications,1,1,32,A,29,136,Examining,Pending,590000
TH172551A,Applications,2,1,1,A,7,0,Published,Pending,590000
TH176338A,Applications,1,1,4,A,7,1,Published,Pending,590000
TH1901006993A,Applications,2,1,2,B,18,4,Examining,Pending,590000
TH42039B,Patents,-,1,1,F,4,35,Ceased,Inactive,590000
TH70316B,Patents,27,1,1,F,5,6,Granted,Active,590000
TH62696B,Patents,31,1,7,C,7,160,Granted,Active,590000
TH51534B,Patents,-,2,5,A,3,6,Granted,Active,590000
TH65121B,Patents,10,1,1,A,10,4,Granted,Active,590000
TH64803B,Patents,33,1,2,C,5,6,Granted,Active,590000
TH69153B,Patents,-,1,1,F,5,13,Granted,Active,590000
TH58273B,Patents,31,1,2,B,4,11,Granted,Active,590000
TH1901005523A,Applications,169,1,4,A,45,13,Published,Pending,590000
TH1901003674A,Applications,54,1,6,A,19,7,Published,Pending,590000
TH111621A,Applications,2,1,1,B,8,4,Examining,Pending,580000
TH76764B,Patents,28,2,12,H,4,7,Granted,Active,580000
TH35195B,Patents,-,1,8,F,3,23,Granted,Active,580000
TH83008B,Patents,-,1,3,B,3,0,Granted,Active,580000
TH42346B,Patents,1,1,3,F,3,7,Granted,Active,580000
TH85211B,Patents,17,1,1,B,6,3,Granted,Active,580000
TH47186B,Patents,33,1,1,B,4,48,Granted,Active,580000
TH42051B,Patents,-,1,3,A,5,32,Granted,Active,580000
TH55215B,Patents,26,1,4,F,11,46,Granted,Active,580000
TH56866B,Patents,32,1,2,B,6,14,Granted,Active,580000
TH81407B,Patents,14,2,2,B,8,5,Granted,Active,580000
TH68323B,Patents,16,1,2,A,6,36,Granted,Active,580000
TH2001007236A,Applications,37,1,2,B,17,18,Published,Pending,580000
TH138074A,Applications,2,1,7,A,6,8,Examining,Pending,570000
TH144140A,Applications,1,1,2,C,10,21,Examining,Pending,570000
TH182298A,Applications,2,1,6,B,6,2,Published,Pending,570000
TH1901002379A,Applications,19,1,4,A,13,8,Published,Pending,570000
TH1901006392A,Applications,31,1,2,B,7,14,Examining,Pending,570000
TH1801000457A,Applications,40,1,2,F,6,8,Examining,Pending,570000
TH84839B,Patents,-,1,4,F,4,12,Granted,Active,570000
TH66799B,Patents,58,2,1,A,5,26,Granted,Active,570000
TH82825B,Patents,31,1,8,C,8,3,Granted,Active,570000
TH52050B,Patents,30,1,1,F,7,61,Granted,Active,570000
TH59127B,Patents,33,1,1,B,4,30,Granted,Active,570000
TH68355B,Patents,20,1,3,B,8,0,Granted,Active,570000
TH73740B,Patents,13,1,1,F,4,8,Granted,Active,570000
TH76051B,Patents,-,1,3,F,3,5,Granted,Active,570000
TH66863B,Patents,32,1,2,A,8,45,Ceased,Inactive,570000
TH52104B,Patents,-,1,2,C,4,2,Granted,Active,570000
TH53347B,Patents,18,1,5,F,9,24,Ceased,Inactive,570000
TH133996A,Applications,1,1,8,A,9,5,Examining,Pending,560000
TH127832A,Applications,1,1,5,C,7,143,Examining,Pending,560000
TH125463A,Applications,1,1,2,C,5,36,Examining,Pending,560000
TH132261A,Applications,1,1,6,B,8,36,Examining,Pending,560000
TH134943A,Applications,1,1,8,A,8,59,Examining,Pending,560000
TH1801003677A,Applications,78,1,4,C,10,5,Examining,Pending,560000
TH1901003730A,Applications,42,2,2,A,7,0,Examining,Pending,560000
TH180365A,Applications,2,1,2,F,6,6,Examining,Pending,560000
TH1801001645A,Applications,2,1,2,F,5,4,Examining,Pending,560000
TH83316B,Patents,35,1,14,B,6,3,Granted,Active,560000
TH73825B,Patents,-,1,1,A,3,11,Granted,Active,560000
TH64242B,Patents,-,1,1,B,3,12,Granted,Active,560000
TH1901007029A,Applications,82,1,3,B,8,10,Published,Pending,560000
TH2001003364A,Applications,43,1,6,A,23,3,Published,Pending,560000
TH89699B,Patents,41,1,2,B,5,5,Granted,Active,560000
TH163068A,Applications,1,2,4,A,6,16,Published,Pending,550000
TH142250A,Applications,1,1,2,C,6,24,Examining,Pending,550000
TH1801003046A,Applications,20,1,1,A,5,2,Examining,Pending,550000
TH1801007298A,Applications,1,1,4,A,11,3,Published,Pending,550000
TH76972B,Patents,13,1,2,A,8,2,Granted,Active,550000
TH43316B,Patents,8,1,1,F,5,0,Granted,Active,550000
TH85973B,Patents,19,1,2,B,8,2,Granted,Active,550000
TH79816B,Patents,32,1,1,F,6,3,Granted,Active,550000
TH89961B,Patents,-,1,12,A,3,0,Granted,Active,550000
TH162532A,Applications,2,2,1,B,14,2,Published,Pending,540000
TH114655A,Applications,1,1,3,A,26,38,Examining,Pending,540000
TH170381A,Applications,2,1,1,A,23,21,Published,Pending,540000
TH67572B,Patents,-,1,2,F,4,11,Granted,Active,540000
TH66259B,Patents,-,1,2,A,4,88,Granted,Active,540000
TH31958B,Patents,12,1,1,B,13,71,Expired,Inactive,540000
TH44715B,Patents,25,1,8,B,9,7,Granted,Active,540000
TH2001003200A,Applications,14,1,8,B,20,1,Published,Pending,540000
TH1801002491A,Applications,31,3,2,A,15,5,Examining,Pending,540000
TH88139B,Patents,10,1,1,F,8,7,Granted,Active,540000
TH142251A,Applications,1,1,6,A,7,21,Examining,Pending,530000
TH166932A,Applications,1,1,6,C,21,124,Withdrawn,Inactive,530000
TH99220A,Applications,1,1,1,C,34,20,Examining,Pending,530000
TH1801003684A,Applications,2,1,3,B,6,14,Published,Pending,530000
TH70827B,Patents,22,1,10,F,11,13,Ceased,Inactive,530000
TH41995B,Patents,36,1,2,B,7,33,Ceased,Inactive,530000
TH72196B,Patents,-,1,1,A,7,0,Granted,Active,530000
TH58391B,Patents,24,1,3,F,5,2,Granted,Active,530000
TH67788B,Patents,47,1,2,F,4,10,Granted,Active,530000
TH55334B,Patents,-,1,1,F,3,13,Granted,Active,530000
TH44366B,Patents,-,1,2,A,4,11,Ceased,Inactive,530000
TH54139B,Patents,-,1,1,F,4,10,Ceased,Inactive,530000
TH33351B,Patents,-,1,1,A,6,17,Ceased,Inactive,530000
TH79107B,Patents,15,1,3,E,5,71,Granted,Active,530000
TH82962B,Patents,13,1,4,A,12,14,Granted,Active,530000
TH1901002373A,Applications,42,1,3,A,7,1,Published,Pending,530000
TH89451B,Patents,18,1,16,C,8,9,Granted,Active,530000
TH1901003559A,Applications,37,1,5,A,22,2,Published,Pending,530000
TH1901000234A,Applications,76,1,1,A,17,1,Published,Pending,530000
TH163233A,Applications,1,1,7,A,6,0,Examining,Pending,520000
TH138903A,Applications,1,1,3,A,4,8,Examining,Pending,520000
TH123603A,Applications,1,1,4,A,13,46,Examining,Pending,520000
TH162277A,Applications,2,2,5,B,8,28,Published,Pending,520000
TH151396A,Applications,1,1,14,A,24,19,Published,Pending,520000
TH181716A,Applications,2,1,4,B,5,3,Published,Pending,520000
